date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2014-01-01,ASHBY,premium_95,157.9,157.9,157.9,157.9,1
2014-01-02,ASHBY,premium_95,173.9,173.9,173.9,173.9,1
2014-01-03,ASHBY,premium_95,170.9,170.9,170.9,170.9,1
2014-01-04,ASHBY,premium_95,167.9,167.9,167.9,167.9,1
2014-01-05,ASHBY,premium_95,166.9,166.9,166.9,166.9,1
2014-01-06,ASHBY,premium_95,163.9,163.9,163.9,163.9,1
2014-01-07,ASHBY,premium_95,161.9,161.9,161.9,161.9,1
2014-01-08,ASHBY,premium_95,160.9,160.9,160.9,160.9,1
2014-01-09,ASHBY,premium_95,172.9,172.9,172.9,172.9,1
2014-01-10,ASHBY,premium_95,169.9,169.9,169.9,169.9,1
2014-01-11,ASHBY,premium_95,166.9,166.9,166.9,166.9,1
2014-01-12,ASHBY,premium_95,164.9,164.9,164.9,164.9,1
2014-01-13,ASHBY,premium_95,162.9,162.9,162.9,162.9,1
2014-01-14,ASHBY,premium_95,160.9,160.9,160.9,160.9,1
2014-01-15,ASHBY,premium_95,158.9,158.9,158.9,158.9,1
2014-01-16,ASHBY,premium_95,169.9,169.9,169.9,169.9,1
2014-01-17,ASHBY,premium_95,166.9,166.9,166.9,166.9,1
2014-01-18,ASHBY,premium_95,164.9,164.9,164.9,164.9,1
2014-01-19,ASHBY,premium_95,163.5,163.5,163.5,163.5,1
2014-01-20,ASHBY,premium_95,161.9,161.9,161.9,161.9,1
2014-01-21,ASHBY,premium_95,158.9,158.9,158.9,158.9,1
2014-01-22,ASHBY,premium_95,156.9,156.9,156.9,156.9,1
2014-01-23,ASHBY,premium_95,169.9,169.9,169.9,169.9,1
2014-01-24,ASHBY,premium_95,166.9,166.9,166.9,166.9,1
2014-01-25,ASHBY,premium_95,164.9,164.9,164.9,164.9,1
2014-01-26,ASHBY,premium_95,164.9,164.9,164.9,164.9,1
2014-01-27,ASHBY,premium_95,159.9,159.9,159.9,159.9,1
2014-01-28,ASHBY,premium_95,157.9,157.9,157.9,157.9,1
2014-01-29,ASHBY,premium_95,155.9,155.9,155.9,155.9,1
2014-01-30,ASHBY,premium_95,171.9,171.9,171.9,171.9,1
2014-01-31,ASHBY,premium_95,168.9,168.9,168.9,168.9,1
2014-02-01,ASHBY,premium_95,165.9,165.9,165.9,165.9,1
2014-02-02,ASHBY,premium_95,164.9,164.9,164.9,164.9,1
2014-02-03,ASHBY,premium_95,161.9,161.9,161.9,161.9,1
2014-02-04,ASHBY,premium_95,159.9,159.9,159.9,159.9,1
2014-02-05,ASHBY,premium_95,158.9,158.9,158.9,158.9,1
2014-02-06,ASHBY,premium_95,171.9,171.9,171.9,171.9,1
2014-02-07,ASHBY,premium_95,169.9,169.9,169.9,169.9,1
2014-02-08,ASHBY,premium_95,166.9,166.9,166.9,166.9,1
2014-02-09,ASHBY,premium_95,163.9,163.9,163.9,163.9,1
2014-02-10,ASHBY,premium_95,161.9,161.9,161.9,161.9,1
2014-02-11,ASHBY,premium_95,159.9,159.9,159.9,159.9,1
2014-02-12,ASHBY,premium_95,157.9,157.9,157.9,157.9,1
2014-02-13,ASHBY,premium_95,169.9,169.9,169.9,169.9,1
2014-02-14,ASHBY,premium_95,166.9,166.9,166.9,166.9,1
2014-02-15,ASHBY,premium_95,164.9,164.9,164.9,164.9,1
2014-02-16,ASHBY,premium_95,162.9,162.9,162.9,162.9,1
2014-02-17,ASHBY,premium_95,160.9,160.9,160.9,160.9,1
2014-02-18,ASHBY,premium_95,158.9,158.9,158.9,158.9,1
2014-02-19,ASHBY,premium_95,156.9,156.9,156.9,156.9,1
2014-02-20,ASHBY,premium_95,170.9,170.9,170.9,170.9,1
2014-02-21,ASHBY,premium_95,167.9,167.9,167.9,167.9,1
2014-02-22,ASHBY,premium_95,165.9,165.9,165.9,165.9,1
2014-02-23,ASHBY,premium_95,162.9,162.9,162.9,162.9,1
2014-02-24,ASHBY,premium_95,160.9,160.9,160.9,160.9,1
2014-02-25,ASHBY,premium_95,157.9,157.9,157.9,157.9,1
2014-02-26,ASHBY,premium_95,156.9,156.9,156.9,156.9,1
2014-02-27,ASHBY,premium_95,170.9,170.9,170.9,170.9,1
2014-02-28,ASHBY,premium_95,168.9,168.9,168.9,168.9,1
