date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2016-01-01,GLEN IRIS,diesel,131.9,131.9,131.9,131.9,1
2016-01-02,GLEN IRIS,diesel,131.9,131.9,131.9,131.9,1
2016-01-03,GLEN IRIS,diesel,131.9,131.9,131.9,131.9,1
2016-01-04,GLEN IRIS,diesel,129.9,129.9,129.9,129.9,1
2016-01-05,GLEN IRIS,diesel,129.9,129.9,129.9,129.9,1
2016-01-06,GLEN IRIS,diesel,129.9,129.9,129.9,129.9,1
2016-01-07,GLEN IRIS,diesel,129.9,129.9,129.9,129.9,1
2016-01-08,GLEN IRIS,diesel,129.9,129.9,129.9,129.9,1
2016-01-09,GLEN IRIS,diesel,129.9,129.9,129.9,129.9,1
2016-01-10,GLEN IRIS,diesel,128.9,128.9,128.9,128.9,1
2016-01-11,GLEN IRIS,diesel,128.9,128.9,128.9,128.9,1
2016-01-12,GLEN IRIS,diesel,128.9,128.9,128.9,128.9,1
2016-01-13,GLEN IRIS,diesel,128.9,128.9,128.9,128.9,1
2016-01-14,GLEN IRIS,diesel,128.9,128.9,128.9,128.9,1
2016-01-15,GLEN IRIS,diesel,128.9,128.9,128.9,128.9,1
2016-01-16,GLEN IRIS,diesel,128.9,128.9,128.9,128.9,1
2016-01-17,GLEN IRIS,diesel,128.9,128.9,128.9,128.9,1
2016-01-18,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-19,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-20,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-21,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-22,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-23,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-24,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-25,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-26,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-27,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-28,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-29,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-30,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2016-01-31,GLEN IRIS,diesel,125.9,125.9,125.9,125.9,1
2016-02-01,GLEN IRIS,diesel,124.9,124.9,124.9,124.9,1
2016-02-02,GLEN IRIS,diesel,124.9,124.9,124.9,124.9,1
2016-02-03,GLEN IRIS,diesel,124.9,124.9,124.9,124.9,1
2016-02-04,GLEN IRIS,diesel,124.9,124.9,124.9,124.9,1
2016-02-05,GLEN IRIS,diesel,123.9,123.9,123.9,123.9,1
2016-02-06,GLEN IRIS,diesel,123.9,123.9,123.9,123.9,1
2016-02-07,GLEN IRIS,diesel,123.9,123.9,123.9,123.9,1
2016-02-08,GLEN IRIS,diesel,123.9,123.9,123.9,123.9,1
2016-02-09,GLEN IRIS,diesel,123.9,123.9,123.9,123.9,1
2016-02-10,GLEN IRIS,diesel,123.9,123.9,123.9,123.9,1
2016-02-11,GLEN IRIS,diesel,123.9,123.9,123.9,123.9,1
2016-02-12,GLEN IRIS,diesel,123.9,123.9,123.9,123.9,1
2016-02-13,GLEN IRIS,diesel,123.9,123.9,123.9,123.9,1
2016-02-14,GLEN IRIS,diesel,123.9,123.9,123.9,123.9,1
2016-02-15,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-16,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-17,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-18,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-19,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-20,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-21,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-22,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-23,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-24,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-25,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-26,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-27,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-28,GLEN IRIS,diesel,118.9,118.9,118.9,118.9,1
2016-02-29,GLEN IRIS,diesel,114.9,114.9,114.9,114.9,1
2017-01-01,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2017-01-02,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2017-01-03,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2017-01-04,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2017-01-05,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2017-01-06,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2017-01-07,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2017-01-08,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2017-01-09,GLEN IRIS,diesel,126.9,126.9,126.9,126.9,1
2017-01-10,GLEN IRIS,diesel,138.9,138.9,138.9,138.9,1
2017-01-11,GLEN IRIS,diesel,138.9,138.9,138.9,138.9,1
2017-01-12,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-13,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-14,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-15,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-16,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-17,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-18,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-19,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-20,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-21,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-22,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-23,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
2017-01-24,GLEN IRIS,diesel,141.9,141.9,141.9,141.9,1
