date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2017-01-01,MULLEWA,ulp_91,137.9,137.9,137.9,137.9,1
2017-01-02,MULLEWA,ulp_91,137.9,137.9,137.9,137.9,1
2017-01-03,MULLEWA,ulp_91,137.9,137.9,137.9,137.9,1
2017-01-04,MULLEWA,ulp_91,137.9,137.9,137.9,137.9,1
2017-01-05,MULLEWA,ulp_91,137.9,137.9,137.9,137.9,1
2017-01-06,MULLEWA,ulp_91,140.9,140.9,140.9,140.9,1
2017-01-07,MULLEWA,ulp_91,140.9,140.9,140.9,140.9,1
2017-01-08,MULLEWA,ulp_91,140.9,140.9,140.9,140.9,1
2017-01-09,MULLEWA,ulp_91,140.9,140.9,140.9,140.9,1
2017-01-10,MULLEWA,ulp_91,140.9,140.9,140.9,140.9,1
2017-01-11,MULLEWA,ulp_91,140.9,140.9,140.9,140.9,1
2017-01-12,MULLEWA,ulp_91,140.9,140.9,140.9,140.9,1
2017-01-13,MULLEWA,ulp_91,140.9,140.9,140.9,140.9,1
2017-01-14,MULLEWA,ulp_91,140.9,140.9,140.9,140.9,1
2017-01-15,MULLEWA,ulp_91,140.9,140.9,140.9,140.9,1
2017-01-16,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-17,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-18,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-19,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-20,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-21,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-22,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-23,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-24,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-25,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-26,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-27,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-28,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-29,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-30,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-01-31,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-01,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-02,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-03,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-04,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-05,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-06,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-07,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-08,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-09,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-10,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-11,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-12,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-13,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-14,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-15,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-16,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-17,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-18,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-19,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-20,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-21,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-22,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-23,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-24,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-25,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-26,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-27,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2017-02-28,MULLEWA,ulp_91,142.9,142.9,142.9,142.9,1
2018-01-01,MULLEWA,ulp_91,144.5,147.2,149.9,144.5,2
2018-01-02,MULLEWA,ulp_91,144.5,147.2,149.9,144.5,2
2018-01-03,MULLEWA,ulp_91,144.5,147.2,149.9,144.5,2
2018-01-04,MULLEWA,ulp_91,144.5,147.2,149.9,144.5,2
2018-01-05,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-06,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-07,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-08,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-09,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-10,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-11,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-12,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-13,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-14,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-15,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-16,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-17,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-18,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-19,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-20,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-21,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-22,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-23,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-24,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-25,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-26,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-27,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-28,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-29,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-30,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-01-31,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-02-01,MULLEWA,ulp_91,146.5,148.2,149.9,146.5,2
2018-02-02,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-03,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-04,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-05,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-06,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-07,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-08,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-09,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-10,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-11,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-12,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-13,MULLEWA,ulp_91,147.9,148.9,149.9,147.9,2
2018-02-14,MULLEWA,ulp_91,147.9,148.9,149.8,147.9,2
2018-02-15,MULLEWA,ulp_91,147.9,148.9,149.8,147.9,2
